character,line,episode
Michael:, Pam. Pamela. Pam-elama-ding-dong. Making copies.,no1-03.php
Pam:, I'm not making any copies.,no1-03.php
Michael:," Let's go. Messages. Stat. Lots to do, lots to do. Information superhighway.",no1-03.php
Pam:, Nothing new.,no1-03.php
Michael:, Lay them on me. What?,no1-03.php
Pam:, There's nothing new.,no1-03.php
Michael:, That's not what you said earlier.,no1-03.php
Pam:," Oh, do you want me to repeat the messages that I gave you before for the... [nods toward camera]",no1-03.php
Michael:," The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? That's what this is all about. Does that make me their doctor? Um... Yes, in a way. Yeah, like a specialist.",no1-03.php
Jan:," So, which health plan have you decided on?",no1-03.php
Michael:," I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works.",no1-03.php
Jan:," Wait, acupuncture? None of the plans have acupuncture. Have you looked at them closely Michael?",no1-03.php
Michael:, I think it was you who didn't look closely enough at the Gold Plan.,no1-03.php
Jan:, The Gold Plan? I'm not even on that plan.,no1-03.php
Michael:," Well, I'd recommend it. It's very good.",no1-03.php
Jan:, Michael.,no1-03.php
Michael:, You gotta crack these things open.,no1-03.php
Jan:," You know the whole reason that we're doing this, is to save money. So you just need to pick a provider and choose the cheapest plan.",no1-03.php
Michael:," Well, that is kind of a tough assignment. Um... It won't be popular decision around the old orifice.",no1-03.php
Jan:, It's your job. So...,no1-03.php
Michael:," Well, it's a suicide mission, you know.",no1-03.php
Jan:, Michael... maybe... I mean...,no1-03.php
Michael:," There, there...",no1-03.php
Jan:," Sometimes a manager, like yourself, has to deliver the bad news to the employees. I do it all the time.",no1-03.php
Michael:, [scoffs] When have you ever done that?,no1-03.php
Jan:, I'm doing it right now. To you.,no1-03.php
Jim:," Last night on Trading Spouses, there's... have you seen it?",no1-03.php
Pam:, No. I have a life.,no1-03.php
Jim:," Interesting, what's that like?",no1-03.php
Pam:, You should try it sometime.,no1-03.php
